customer_id,customer_name,segment,region,total_sales,total_orders,overall_rank,overall_percentile,segment_percentile
CU-10123,Wei Taylor,Corporate,Central,40802.47,13,137,0.379,0.4688
CU-10111,Charles Martinez,Corporate,South,40408.88,11,138,0.3744,0.4531
CU-10049,John Rodriguez,Home Office,Central,39260.84,7,139,0.3699,0.3425
CU-10077,Jennifer Jackson,Home Office,South,39125.68,7,140,0.3653,0.3288
CU-10137,Sofia Thomas,Consumer,Central,39054.69,10,141,0.3607,0.325
CU-10148,Sofia Johnson,Corporate,Central,38898.4,9,142,0.3562,0.4375
CU-10063,William Thomas,Corporate,East,38429.64,8,143,0.3516,0.4219
CU-10067,Susan Taylor,Corporate,West,38176.64,13,144,0.347,0.4063
CU-10087,David Taylor,Corporate,Central,38144.94,7,145,0.3425,0.3906
CU-10053,Robert Jones,Corporate,East,37145.44,14,146,0.3379,0.375
CU-10178,Joseph Anderson,Home Office,East,36250.24,6,147,0.3333,0.3151
CU-10138,Elizabeth Perez,Home Office,South,35652.05,11,148,0.3288,0.3014
CU-10016,Carlos Johnson,Home Office,East,35518.41,9,149,0.3242,0.2877
CU-10150,Richard Thompson,Consumer,West,35251.92,11,150,0.3196,0.3125
CU-10165,Karen Davis,Home Office,East,35194.62,12,151,0.3151,0.274
CU-10079,Elizabeth Davis,Home Office,Central,35010.43,6,152,0.3105,0.2603
CU-10010,Wei Williams,Consumer,West,34297.25,11,153,0.3059,0.3
CU-10021,Priya Martin,Consumer,West,33253.02,11,154,0.3014,0.2875
CU-10076,Amit Martin,Home Office,Central,32063.18,10,155,0.2968,0.2466
CU-10086,Amit Smith,Corporate,East,31860.81,7,156,0.2922,0.3594
CU-10091,Jessica Brown,Corporate,West,31728.7,7,157,0.2877,0.3438
CU-10112,Mary Rodriguez,Corporate,South,31352.2,10,158,0.2831,0.3281
CU-10108,Yuki Perez,Corporate,Central,31192.35,8,159,0.2785,0.3125
CU-10029,Linda Williams,Home Office,East,30809.7,4,160,0.274,0.2329
CU-10083,Barbara Martinez,Corporate,South,30278.19,10,161,0.2694,0.2969
CU-10186,Jessica Williams,Corporate,East,29822.4,5,162,0.2648,0.2813
CU-10116,Patricia Miller,Consumer,West,29560.46,8,163,0.2603,0.275
CU-10158,Elizabeth Moore,Home Office,East,29537.44,8,164,0.2557,0.2192
CU-10131,Thomas Anderson,Consumer,South,29204.71,4,165,0.2511,0.2625
CU-10136,Sarah Jones,Consumer,South,28967.98,8,166,0.2466,0.25
CU-10166,John Johnson,Consumer,East,28627.31,8,167,0.242,0.2375
CU-10141,Jessica Taylor,Consumer,South,28430.06,6,168,0.2374,0.225
CU-10036,Sarah Smith,Corporate,East,28278.95,7,169,0.2329,0.2656
CU-10066,Amit Thomas,Home Office,Central,28217.58,7,170,0.2283,0.2055
CU-10054,Elizabeth Anderson,Home Office,East,27482.93,10,171,0.2237,0.1918
CU-10052,David Garcia,Home Office,South,27064.44,6,172,0.2192,0.1781
CU-10071,Carlos Davis,Consumer,Central,26762.38,7,173,0.2146,0.2125
CU-10176,John Smith,Consumer,Central,26514.05,5,174,0.21,0.2
CU-10065,William Thompson,Corporate,Central,25987.97,6,175,0.2055,0.25
CU-10203,Amit Anderson,Corporate,East,25687.76,8,176,0.2009,0.2344
CU-10046,Thomas Rodriguez,Consumer,West,25376.8,8,177,0.1963,0.1875
CU-10090,James Davis,Consumer,West,24740.6,12,178,0.1918,0.175
CU-10001,Patricia Lee,Consumer,East,23800.75,4,179,0.1872,0.1625
CU-10059,Ahmed Davis,Consumer,West,23625.33,6,180,0.1826,0.15
CU-10182,Karen Perez,Corporate,Central,22855.33,6,181,0.1781,0.2188
CU-10199,Elizabeth Perez,Consumer,South,21790.43,5,182,0.1735,0.1375
CU-10164,Patricia Davis,Home Office,South,20884.45,3,183,0.1689,0.1644
CU-10034,Michael Lee,Consumer,South,20737.96,7,184,0.1644,0.125
CU-10044,Linda Rodriguez,Corporate,South,19660.05,5,185,0.1598,0.2031
CU-10135,Wei Martinez,Corporate,Central,19406.06,6,186,0.1553,0.1875
CU-10107,Patricia Lee,Home Office,West,19162.59,5,187,0.1507,0.1507
CU-10134,Linda Brown,Consumer,South,19133.92,9,188,0.1461,0.1125
CU-10106,David Martinez,Home Office,Central,18374.68,5,189,0.1416,0.137
CU-10031,Charles Perez,Corporate,South,18050.34,6,190,0.137,0.1719
CU-10181,Robert Williams,Consumer,Central,17774.41,8,191,0.1324,0.1
CU-10170,Joseph Moore,Home Office,West,17640.22,5,192,0.1279,0.1233
CU-10206,Karen Moore,Consumer,Central,17405.07,5,193,0.1233,0.0875
CU-10017,Robert Taylor,Home Office,South,17053.76,8,194,0.1187,0.1096
CU-10058,Fatima Johnson,Corporate,South,16820.81,4,195,0.1142,0.1563
CU-10109,Jennifer Martinez,Corporate,East,16603.23,7,196,0.1096,0.1406
CU-10129,Richard Lee,Corporate,East,15406.54,5,197,0.105,0.125
CU-10140,Linda Perez,Consumer,South,14759.18,4,198,0.1005,0.075
CU-10069,William Moore,Home Office,South,14499.92,5,199,0.0959,0.0959
CU-10027,Joseph Brown,Corporate,West,13843.02,8,200,0.0913,0.1094
CU-10092,Karen Brown,Home Office,West,13638.6,7,201,0.0868,0.0822
CU-10211,Carlos Perez,Home Office,South,13285.03,7,202,0.0822,0.0685
CU-10101,Jennifer Jackson,Corporate,West,12820.69,3,203,0.0776,0.0938
CU-10207,Charles Taylor,Home Office,East,10946.14,4,204,0.0731,0.0548
CU-10195,Michael Taylor,Consumer,South,10135.92,2,205,0.0685,0.0625
CU-10219,Carlos Wilson,Corporate,East,8473.14,2,206,0.0639,0.0781
CU-10033,Mary Brown,Consumer,East,7362.74,4,207,0.0594,0.05
CU-10189,Susan Johnson,Corporate,Central,6540.43,3,208,0.0548,0.0625
CU-10057,Sofia Thomas,Home Office,West,6222.13,3,209,0.0502,0.0411
CU-10162,Linda Taylor,Consumer,Central,6054.94,4,210,0.0457,0.0375
CU-10124,Mary Thomas,Consumer,Central,5206.18,2,211,0.0411,0.025
CU-10102,Karen Rodriguez,Consumer,East,4996.69,4,212,0.0365,0.0125
CU-10192,Carlos Thompson,Consumer,East,4368.13,2,213,0.032,0.0
CU-10177,Mary Jones,Home Office,South,3874.86,2,214,0.0274,0.0274
CU-10130,Patricia Taylor,Corporate,East,3668.87,3,215,0.0228,0.0469
CU-10078,Carlos Martin,Corporate,South,3544.74,2,216,0.0183,0.0313
CU-10089,Sarah Johnson,Home Office,Central,3161.44,2,217,0.0137,0.0137
CU-10118,Jessica Martinez,Home Office,East,2683.85,3,218,0.0091,0.0
CU-10213,Barbara Martin,Corporate,East,1599.24,1,219,0.0046,0.0156
CU-10022,Carlos Martin,Corporate,East,865.41,2,220,0.0,0.0
