row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,product_id,product_name,category,sub_category,sales,quantity,discount,profit
26,ORD-2022-1438,2022-01-05,2022-01-06,First Class,CU-10045,Carlos Williams,Consumer,East,Massachusetts,Boston,PR-1031,Headset Pro,Technology,Phones,259.9,3,0,-6.08
27,ORD-2022-1438,2022-01-05,2022-01-06,Same Day,CU-10045,Carlos Williams,Consumer,East,Massachusetts,Boston,PR-1035,Wireless Mouse,Technology,Accessories,2729.45,3,0.3,330.54
28,ORD-2022-1438,2022-01-05,2022-01-06,Second Class,CU-10045,Carlos Williams,Consumer,East,Massachusetts,Boston,PR-1039,Office Copier XL,Technology,Copiers,309.5,2,0,85.4
29,ORD-2022-1438,2022-01-05,2022-01-06,Same Day,CU-10045,Carlos Williams,Consumer,East,Massachusetts,Boston,PR-1001,Executive Chair,Furniture,Chairs,956.95,2,0.2,30.43
30,ORD-2022-5470,2022-01-05,2022-01-10,Same Day,CU-10184,Linda Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1015,3-Ring Binder,Office Supplies,Binders,29.33,2,0,8.21
31,ORD-2022-5470,2022-01-05,2022-01-10,First Class,CU-10184,Linda Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1019,Legal Pad,Office Supplies,Paper,141.0,5,0.1,48.13
32,ORD-2022-5470,2022-01-05,2022-01-10,Same Day,CU-10184,Linda Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1017,View Binder,Office Supplies,Binders,85.45,5,0.15,-0.3
33,ORD-2022-677,2022-01-05,2022-01-09,Second Class,CU-10024,Robert Jackson,Consumer,East,Virginia,Richmond,PR-1038,Desktop Copier,Technology,Copiers,4016.35,6,0,129.86
34,ORD-2022-1106,2022-01-06,2022-01-07,Same Day,CU-10037,Michael Taylor,Consumer,East,Pennsylvania,Pittsburgh,PR-1018,Copy Paper Ream,Office Supplies,Paper,131.41,2,0,26.08
35,ORD-2022-2503,2022-01-06,2022-01-12,Standard Class,CU-10085,Richard Garcia,Corporate,South,Georgia,Atlanta,PR-1033,Label Maker,Technology,Machines,4340.35,4,0.1,443.63
36,ORD-2022-2503,2022-01-06,2022-01-12,Second Class,CU-10085,Richard Garcia,Corporate,South,Georgia,Atlanta,PR-1024,Marker Set,Office Supplies,Art,278.52,3,0,78.14
37,ORD-2022-2503,2022-01-06,2022-01-12,Standard Class,CU-10085,Richard Garcia,Corporate,South,Georgia,Atlanta,PR-1027,Address Labels,Office Supplies,Labels,158.26,2,0.1,51.41
38,ORD-2022-4985,2022-01-06,2022-01-08,Second Class,CU-10168,Wei Lee,Corporate,South,Alabama,Birmingham,PR-1019,Legal Pad,Office Supplies,Paper,112.8,4,0.1,26.3
39,ORD-2022-4985,2022-01-06,2022-01-08,First Class,CU-10168,Wei Lee,Corporate,South,Alabama,Birmingham,PR-1011,Ladder Shelf,Furniture,Bookcases,685.67,1,0,-13.74
40,ORD-2022-4985,2022-01-06,2022-01-08,Standard Class,CU-10168,Wei Lee,Corporate,South,Alabama,Birmingham,PR-1031,Headset Pro,Technology,Phones,86.63,1,0,25.89
41,ORD-2022-6049,2022-01-06,2022-01-10,Same Day,CU-10202,Susan Garcia,Home Office,West,Nevada,Las Vegas,PR-1035,Wireless Mouse,Technology,Accessories,2999.4,3,0,-16.25
42,ORD-2022-6049,2022-01-06,2022-01-10,Same Day,CU-10202,Susan Garcia,Home Office,West,Nevada,Las Vegas,PR-1036,USB Hub,Technology,Accessories,3756.33,5,0.4,1160.74
43,ORD-2022-6049,2022-01-06,2022-01-10,Second Class,CU-10202,Susan Garcia,Home Office,West,Nevada,Las Vegas,PR-1020,Sticky Notes,Office Supplies,Paper,246.2,5,0.2,25.19
44,ORD-2022-6049,2022-01-06,2022-01-10,Same Day,CU-10202,Susan Garcia,Home Office,West,Nevada,Las Vegas,PR-1025,Sketch Pad,Office Supplies,Art,61.41,4,0,7.04
45,ORD-2022-1433,2022-01-07,2022-01-10,First Class,CU-10044,Linda Rodriguez,Corporate,South,Georgia,Savannah,PR-1001,Executive Chair,Furniture,Chairs,509.02,1,0,157.58
46,ORD-2022-3948,2022-01-07,2022-01-08,Same Day,CU-10139,William Lee,Consumer,South,Tennessee,Memphis,PR-1009,5-Shelf Bookcase,Furniture,Bookcases,931.68,2,0.15,25.92
47,ORD-2022-3999,2022-01-07,2022-01-12,Standard Class,CU-10140,Linda Perez,Consumer,South,Georgia,Savannah,PR-1005,Conference Table,Furniture,Tables,1284.51,4,0,425.69
48,ORD-2022-3999,2022-01-07,2022-01-12,Second Class,CU-10140,Linda Perez,Consumer,South,Georgia,Savannah,PR-1010,Corner Bookcase,Furniture,Bookcases,301.86,1,0,21.12
49,ORD-2022-3999,2022-01-07,2022-01-12,First Class,CU-10140,Linda Perez,Consumer,South,Georgia,Savannah,PR-1013,Wall Clock,Furniture,Furnishings,651.76,5,0,48.66
50,ORD-2022-4121,2022-01-07,2022-01-12,First Class,CU-10144,David Wilson,Home Office,South,Florida,Orlando,PR-1013,Wall Clock,Furniture,Furnishings,355.86,3,0.3,0.15
51,ORD-2022-4121,2022-01-07,2022-01-12,Same Day,CU-10144,David Wilson,Home Office,South,Florida,Orlando,PR-1008,Side Table,Furniture,Tables,2578.61,5,0.2,-43.6
52,ORD-2022-4625,2022-01-07,2022-01-12,Standard Class,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1037,Laptop Stand,Technology,Accessories,412.43,4,0.4,133.17
53,ORD-2022-4625,2022-01-07,2022-01-12,Same Day,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1016,Report Cover,Office Supplies,Binders,401.08,5,0,-9.75
54,ORD-2022-4625,2022-01-07,2022-01-12,First Class,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1004,Recliner,Furniture,Chairs,1655.23,6,0.2,301.86
55,ORD-2022-5342,2022-01-07,2022-01-12,Standard Class,CU-10179,Sofia Martin,Consumer,Central,Michigan,Detroit,PR-1020,Sticky Notes,Office Supplies,Paper,104.77,2,0,23.22
56,ORD-2022-3535,2022-01-08,2022-01-09,Same Day,CU-10121,David Jones,Corporate,East,New York,New York City,PR-1036,USB Hub,Technology,Accessories,3107.51,4,0.3,281.02
57,ORD-2022-4071,2022-01-08,2022-01-11,Second Class,CU-10143,James Jones,Corporate,South,Georgia,Atlanta,PR-1019,Legal Pad,Office Supplies,Paper,145.36,5,0,44.91
58,ORD-2022-4071,2022-01-08,2022-01-11,Same Day,CU-10143,James Jones,Corporate,South,Georgia,Atlanta,PR-1003,Stacking Chair,Furniture,Chairs,1696.13,6,0,436.86
59,ORD-2022-4071,2022-01-08,2022-01-11,First Class,CU-10143,James Jones,Corporate,South,Georgia,Atlanta,PR-1038,Desktop Copier,Technology,Copiers,1278.54,2,0.15,117.16
60,ORD-2022-4071,2022-01-08,2022-01-11,Second Class,CU-10143,James Jones,Corporate,South,Georgia,Atlanta,PR-1005,Conference Table,Furniture,Tables,642.26,2,0,183.15
61,ORD-2022-5329,2022-01-08,2022-01-15,Second Class,CU-10176,John Smith,Consumer,Central,Illinois,Springfield,PR-1006,Round Table,Furniture,Tables,1335.44,5,0,173.58
62,ORD-2022-5329,2022-01-08,2022-01-15,Second Class,CU-10176,John Smith,Consumer,Central,Illinois,Springfield,PR-1030,Cordless Phone,Technology,Phones,2018.48,4,0.3,-89.67
63,ORD-2022-5329,2022-01-08,2022-01-15,Same Day,CU-10176,John Smith,Consumer,Central,Illinois,Springfield,PR-1024,Marker Set,Office Supplies,Art,450.27,5,0.1,118.08
64,ORD-2022-5456,2022-01-08,2022-01-10,Same Day,CU-10183,Susan Brown,Corporate,East,Virginia,Richmond,PR-1036,USB Hub,Technology,Accessories,3414.85,4,0,474.7
65,ORD-2022-5456,2022-01-08,2022-01-10,First Class,CU-10183,Susan Brown,Corporate,East,Virginia,Richmond,PR-1021,File Cabinet,Office Supplies,Storage,46.3,1,0,12.67
66,ORD-2022-5456,2022-01-08,2022-01-10,Same Day,CU-10183,Susan Brown,Corporate,East,Virginia,Richmond,PR-1033,Label Maker,Technology,Machines,2237.3,2,0,14.7
67,ORD-2022-5456,2022-01-08,2022-01-10,Second Class,CU-10183,Susan Brown,Corporate,East,Virginia,Richmond,PR-1005,Conference Table,Furniture,Tables,1811.16,6,0.2,155.32
68,ORD-2022-5631,2022-01-08,2022-01-13,First Class,CU-10188,Sarah Wilson,Home Office,East,Massachusetts,Worcester,PR-1023,Locking Drawer,Office Supplies,Storage,157.12,6,0.3,14.09
69,ORD-2022-588,2022-01-08,2022-01-09,Second Class,CU-10020,David Martin,Home Office,West,Arizona,Phoenix,PR-1026,Push Pins,Office Supplies,Art,370.55,5,0.4,59.05
70,ORD-2022-588,2022-01-08,2022-01-09,First Class,CU-10020,David Martin,Home Office,West,Arizona,Phoenix,PR-1004,Recliner,Furniture,Chairs,1121.09,4,0.15,128.64
71,ORD-2022-985,2022-01-08,2022-01-11,Standard Class,CU-10032,Patricia Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1020,Sticky Notes,Office Supplies,Paper,52.38,1,0,15.35
72,ORD-2022-985,2022-01-08,2022-01-11,First Class,CU-10032,Patricia Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1033,Label Maker,Technology,Machines,1017.97,1,0.3,128.48
73,ORD-2022-1880,2022-01-09,2022-01-14,Standard Class,CU-10061,Sarah Wilson,Consumer,East,New York,Buffalo,PR-1038,Desktop Copier,Technology,Copiers,1947.93,3,0.1,506.02
74,ORD-2022-2581,2022-01-09,2022-01-16,Second Class,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1029,Smartphone X,Technology,Phones,1960.01,4,0.3,-32.16
75,ORD-2022-2581,2022-01-09,2022-01-16,Same Day,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1037,Laptop Stand,Technology,Accessories,660.83,6,0.2,-19.02
76,ORD-2022-2581,2022-01-09,2022-01-16,First Class,CU-10090,James Davis,Consumer,West,California,San Diego,PR-1019,Legal Pad,Office Supplies,Paper,29.07,1,0,1.03
77,ORD-2022-3191,2022-01-09,2022-01-14,First Class,CU-10110,Mary Lee,Consumer,Central,Illinois,Springfield,PR-1018,Copy Paper Ream,Office Supplies,Paper,328.52,5,0,73.6
78,ORD-2022-3191,2022-01-09,2022-01-14,First Class,CU-10110,Mary Lee,Consumer,Central,Illinois,Springfield,PR-1014,Filing Tray,Furniture,Furnishings,1931.09,3,0,344.31
79,ORD-2022-3191,2022-01-09,2022-01-14,First Class,CU-10110,Mary Lee,Consumer,Central,Illinois,Springfield,PR-1013,Wall Clock,Furniture,Furnishings,391.06,3,0,110.82
80,ORD-2022-3191,2022-01-09,2022-01-14,First Class,CU-10110,Mary Lee,Consumer,Central,Illinois,Springfield,PR-1003,Stacking Chair,Furniture,Chairs,1096.83,4,0.1,207.77
81,ORD-2022-5702,2022-01-09,2022-01-13,Same Day,CU-10191,Sarah Anderson,Corporate,East,New Jersey,Newark,PR-1031,Headset Pro,Technology,Phones,259.9,3,0,58.79
82,ORD-2022-5702,2022-01-09,2022-01-13,First Class,CU-10191,Sarah Anderson,Corporate,East,New Jersey,Newark,PR-1013,Wall Clock,Furniture,Furnishings,373.46,3,0.15,51.12
83,ORD-2022-5702,2022-01-09,2022-01-13,Standard Class,CU-10191,Sarah Anderson,Corporate,East,New Jersey,Newark,PR-1019,Legal Pad,Office Supplies,Paper,87.22,3,0,12.89
84,ORD-2022-5702,2022-01-09,2022-01-13,First Class,CU-10191,Sarah Anderson,Corporate,East,New Jersey,Newark,PR-1031,Headset Pro,Technology,Phones,315.34,4,0.3,19.62
85,ORD-2022-1824,2022-01-10,2022-01-17,Standard Class,CU-10060,David Williams,Home Office,Central,Ohio,Cleveland,PR-1016,Report Cover,Office Supplies,Binders,150.81,2,0.2,36.14
86,ORD-2022-1824,2022-01-10,2022-01-17,Second Class,CU-10060,David Williams,Home Office,Central,Ohio,Cleveland,PR-1001,Executive Chair,Furniture,Chairs,956.95,2,0.2,23.04
87,ORD-2022-1824,2022-01-10,2022-01-17,First Class,CU-10060,David Williams,Home Office,Central,Ohio,Cleveland,PR-1031,Headset Pro,Technology,Phones,346.53,4,0,3.84
88,ORD-2022-1824,2022-01-10,2022-01-17,Same Day,CU-10060,David Williams,Home Office,Central,Ohio,Cleveland,PR-1023,Locking Drawer,Office Supplies,Storage,130.93,5,0.3,6.13
89,ORD-2022-3112,2022-01-10,2022-01-14,Second Class,CU-10105,Barbara Jackson,Corporate,Central,Michigan,Ann Arbor,PR-1024,Marker Set,Office Supplies,Art,490.2,6,0.4,-7.19
90,ORD-2022-4003,2022-01-10,2022-01-15,First Class,CU-10141,Jessica Taylor,Consumer,South,Georgia,Savannah,PR-1016,Report Cover,Office Supplies,Binders,240.65,3,0,15.56
91,ORD-2022-4003,2022-01-10,2022-01-15,First Class,CU-10141,Jessica Taylor,Consumer,South,Georgia,Savannah,PR-1026,Push Pins,Office Supplies,Art,153.27,2,0.3,-5.21
92,ORD-2022-4003,2022-01-10,2022-01-15,First Class,CU-10141,Jessica Taylor,Consumer,South,Georgia,Savannah,PR-1015,3-Ring Binder,Office Supplies,Binders,68.92,5,0.2,21.18
93,ORD-2022-792,2022-01-10,2022-01-12,Second Class,CU-10026,Carlos Miller,Corporate,Central,Michigan,Ann Arbor,PR-1039,Office Copier XL,Technology,Copiers,619.01,4,0,139.03
94,ORD-2022-792,2022-01-10,2022-01-12,First Class,CU-10026,Carlos Miller,Corporate,Central,Michigan,Ann Arbor,PR-1005,Conference Table,Furniture,Tables,1284.51,4,0,135.58
95,ORD-2022-792,2022-01-10,2022-01-12,Same Day,CU-10026,Carlos Miller,Corporate,Central,Michigan,Ann Arbor,PR-1024,Marker Set,Office Supplies,Art,371.36,4,0,54.36
96,ORD-2022-792,2022-01-10,2022-01-12,Second Class,CU-10026,Carlos Miller,Corporate,Central,Michigan,Ann Arbor,PR-1028,Shipping Labels,Office Supplies,Labels,67.18,1,0.3,3.49
97,ORD-2022-2709,2022-01-11,2022-01-14,First Class,CU-10095,Barbara Lee,Home Office,South,North Carolina,Charlotte,PR-1003,Stacking Chair,Furniture,Chairs,822.62,3,0.1,230.57
98,ORD-2022-3491,2022-01-11,2022-01-18,First Class,CU-10120,Sofia Miller,Consumer,South,Florida,Tampa,PR-1033,Label Maker,Technology,Machines,5593.24,5,0,252.27
99,ORD-2022-5469,2022-01-11,2022-01-18,Standard Class,CU-10184,Linda Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1035,Wireless Mouse,Technology,Accessories,1999.6,2,0,633.89
100,ORD-2022-5469,2022-01-11,2022-01-18,First Class,CU-10184,Linda Thomas,Corporate,Central,Michigan,Ann Arbor,PR-1002,Mesh Task Chair,Furniture,Chairs,2250.9,5,0.3,570.88
101,ORD-2022-6207,2022-01-11,2022-01-17,Second Class,CU-10207,Charles Taylor,Home Office,East,Massachusetts,Worcester,PR-1012,Desk Lamp,Furniture,Furnishings,308.48,2,0,56.47
102,ORD-2022-6207,2022-01-11,2022-01-17,Standard Class,CU-10207,Charles Taylor,Home Office,East,Massachusetts,Worcester,PR-1001,Executive Chair,Furniture,Chairs,478.48,1,0.2,115.81
103,ORD-2022-6207,2022-01-11,2022-01-17,First Class,CU-10207,Charles Taylor,Home Office,East,Massachusetts,Worcester,PR-1017,View Binder,Office Supplies,Binders,17.9,1,0,4.03
104,ORD-2022-6207,2022-01-11,2022-01-17,Second Class,CU-10207,Charles Taylor,Home Office,East,Massachusetts,Worcester,PR-1002,Mesh Task Chair,Furniture,Chairs,1889.77,4,0.15,467.74
105,ORD-2022-2607,2022-01-12,2022-01-18,Standard Class,CU-10093,Elizabeth Perez,Consumer,South,Tennessee,Nashville,PR-1025,Sketch Pad,Office Supplies,Art,89.35,6,0.1,0.57
106,ORD-2022-3806,2022-01-12,2022-01-17,Standard Class,CU-10129,Richard Lee,Corporate,East,Massachusetts,Boston,PR-1001,Executive Chair,Furniture,Chairs,987.49,2,0.1,39.84
107,ORD-2022-3806,2022-01-12,2022-01-17,Same Day,CU-10129,Richard Lee,Corporate,East,Massachusetts,Boston,PR-1018,Copy Paper Ream,Office Supplies,Paper,254.93,4,0.1,2.79
108,ORD-2022-3806,2022-01-12,2022-01-17,Same Day,CU-10129,Richard Lee,Corporate,East,Massachusetts,Boston,PR-1012,Desk Lamp,Furniture,Furnishings,294.6,2,0.15,7.67
109,ORD-2022-3806,2022-01-12,2022-01-17,Second Class,CU-10129,Richard Lee,Corporate,East,Massachusetts,Boston,PR-1021,File Cabinet,Office Supplies,Storage,231.48,5,0,-2.07
110,ORD-2022-5921,2022-01-12,2022-01-16,First Class,CU-10197,Mary Williams,Corporate,Central,Michigan,Ann Arbor,PR-1033,Label Maker,Technology,Machines,5257.65,5,0.2,1732.95
111,ORD-2022-5921,2022-01-12,2022-01-16,Second Class,CU-10197,Mary Williams,Corporate,Central,Michigan,Ann Arbor,PR-1016,Report Cover,Office Supplies,Binders,481.3,6,0,132.73
112,ORD-2022-1056,2022-01-13,2022-01-15,First Class,CU-10035,Linda Williams,Consumer,South,Alabama,Birmingham,PR-1016,Report Cover,Office Supplies,Binders,80.22,1,0,13.05
113,ORD-2022-1056,2022-01-13,2022-01-15,Second Class,CU-10035,Linda Williams,Consumer,South,Alabama,Birmingham,PR-1026,Push Pins,Office Supplies,Art,444.66,6,0.4,26.82
114,ORD-2022-1056,2022-01-13,2022-01-15,First Class,CU-10035,Linda Williams,Consumer,South,Alabama,Birmingham,PR-1001,Executive Chair,Furniture,Chairs,1913.9,4,0.2,79.71
115,ORD-2022-1056,2022-01-13,2022-01-15,Standard Class,CU-10035,Linda Williams,Consumer,South,Alabama,Birmingham,PR-1008,Side Table,Furniture,Tables,3094.33,6,0.2,29.08
116,ORD-2022-3390,2022-01-13,2022-01-14,First Class,CU-10117,Sarah Williams,Corporate,West,California,San Francisco,PR-1016,Report Cover,Office Supplies,Binders,352.95,5,0.4,-9.49
117,ORD-2022-4626,2022-01-13,2022-01-17,Same Day,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1007,Standing Desk,Furniture,Tables,1577.26,3,0.4,286.45
118,ORD-2022-4626,2022-01-13,2022-01-17,First Class,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1037,Laptop Stand,Technology,Accessories,234.34,2,0,24.97
119,ORD-2022-4626,2022-01-13,2022-01-17,First Class,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1034,Shredder,Technology,Machines,926.02,1,0.1,200.71
120,ORD-2022-4626,2022-01-13,2022-01-17,First Class,CU-10157,Linda Miller,Home Office,Central,Illinois,Chicago,PR-1009,5-Shelf Bookcase,Furniture,Bookcases,2292.62,5,0.2,561.8
121,ORD-2022-5630,2022-01-13,2022-01-17,Same Day,CU-10188,Sarah Wilson,Home Office,East,Massachusetts,Worcester,PR-1004,Recliner,Furniture,Chairs,1467.4,5,0,507.91
122,ORD-2022-5630,2022-01-13,2022-01-17,Standard Class,CU-10188,Sarah Wilson,Home Office,East,Massachusetts,Worcester,PR-1022,Storage Box,Office Supplies,Storage,256.76,3,0.2,54.29
123,ORD-2022-5630,2022-01-13,2022-01-17,Same Day,CU-10188,Sarah Wilson,Home Office,East,Massachusetts,Worcester,PR-1019,Legal Pad,Office Supplies,Paper,105.82,4,0.3,27.42
124,ORD-2022-2504,2022-01-14,2022-01-18,Second Class,CU-10085,Richard Garcia,Corporate,South,Georgia,Atlanta,PR-1002,Mesh Task Chair,Furniture,Chairs,494.7,1,0,48.5
125,ORD-2022-2504,2022-01-14,2022-01-18,Second Class,CU-10085,Richard Garcia,Corporate,South,Georgia,Atlanta,PR-1029,Smartphone X,Technology,Phones,3230.78,6,0,1115.53
126,ORD-2022-2504,2022-01-14,2022-01-18,Same Day,CU-10085,Richard Garcia,Corporate,South,Georgia,Atlanta,PR-1020,Sticky Notes,Office Supplies,Paper,50.03,1,0.15,16.25
127,ORD-2022-3171,2022-01-14,2022-01-17,Same Day,CU-10107,Patricia Lee,Home Office,West,Washington,Seattle,PR-1026,Push Pins,Office Supplies,Art,79.16,1,0.2,5.37
128,ORD-2022-3171,2022-01-14,2022-01-17,Standard Class,CU-10107,Patricia Lee,Home Office,West,Washington,Seattle,PR-1006,Round Table,Furniture,Tables,470.07,2,0.4,85.1
129,ORD-2022-3947,2022-01-14,2022-01-19,First Class,CU-10139,William Lee,Consumer,South,Tennessee,Memphis,PR-1037,Laptop Stand,Technology,Accessories,206.22,2,0.4,55.86
130,ORD-2022-3947,2022-01-14,2022-01-19,Second Class,CU-10139,William Lee,Consumer,South,Tennessee,Memphis,PR-1017,View Binder,Office Supplies,Binders,53.69,3,0,16.04
131,ORD-2022-3947,2022-01-14,2022-01-19,Second Class,CU-10139,William Lee,Consumer,South,Tennessee,Memphis,PR-1010,Corner Bookcase,Furniture,Bookcases,905.59,3,0,249.3
132,ORD-2022-2818,2022-01-15,2022-01-17,Same Day,CU-10098,Priya Rodriguez,Home Office,South,Tennessee,Memphis,PR-1037,Laptop Stand,Technology,Accessories,117.17,1,0,19.33
133,ORD-2022-2818,2022-01-15,2022-01-17,Second Class,CU-10098,Priya Rodriguez,Home Office,South,Tennessee,Memphis,PR-1022,Storage Box,Office Supplies,Storage,273.14,3,0,71.05
134,ORD-2022-5759,2022-01-15,2022-01-19,Standard Class,CU-10193,Wei Martinez,Consumer,Central,Ohio,Columbus,PR-1030,Cordless Phone,Technology,Phones,1663.58,3,0,502.98
135,ORD-2022-5759,2022-01-15,2022-01-19,Standard Class,CU-10193,Wei Martinez,Consumer,Central,Ohio,Columbus,PR-1015,3-Ring Binder,Office Supplies,Binders,42.01,3,0.15,14.63
136,ORD-2022-5759,2022-01-15,2022-01-19,Second Class,CU-10193,Wei Martinez,Consumer,Central,Ohio,Columbus,PR-1008,Side Table,Furniture,Tables,1645.92,3,0,317.82
137,ORD-2022-5759,2022-01-15,2022-01-19,First Class,CU-10193,Wei Martinez,Consumer,Central,Ohio,Columbus,PR-1026,Push Pins,Office Supplies,Art,241.28,3,0.15,-7.21
138,ORD-2022-3391,2022-01-16,2022-01-17,First Class,CU-10117,Sarah Williams,Corporate,West,California,San Francisco,PR-1011,Ladder Shelf,Furniture,Bookcases,3274.08,5,0.15,487.83
139,ORD-2022-3391,2022-01-16,2022-01-17,Standard Class,CU-10117,Sarah Williams,Corporate,West,California,San Francisco,PR-1020,Sticky Notes,Office Supplies,Paper,230.49,5,0.4,77.34
140,ORD-2022-3391,2022-01-16,2022-01-17,First Class,CU-10117,Sarah Williams,Corporate,West,California,San Francisco,PR-1037,Laptop Stand,Technology,Accessories,447.58,4,0.15,51.36
